Time,CH3_ppm,W
1.96E-07,8.338174456,1.00E-09
5.97E-07,32.5450912,1.00E-09
1.54E-06,61.80818057,0.071795816
1.08E-05,57.83816961,0.071795816
1.98E-05,57.03111287,0.071795816
2.14E-05,54.53318335,0.071795816
2.26E-05,52.71921073,0.071795816
2.77E-05,50.93017797,0.071795816
3.38E-05,47.37865381,0.071795816
4.05E-05,49.18690983,0.071795816
4.51E-05,46.35940288,0.071795816
5.11E-05,45.03411249,0.071795816
5.65E-05,48.23767908,0.071795816
6.26E-05,44.45357517,0.071795816
7.44E-05,45.02023511,0.071795816
7.78E-05,43.04817184,0.071795816
8.60E-05,46.28854086,0.071795816
9.03E-05,42.50018598,0.071795816
9.18E-05,40.84661121,0.071795816
9.78E-05,45.14154687,0.071795816
0.000102948,38.15680979,0.071795816
0.000109667,39.51833378,0.071795816
0.000114722,43.62359238,0.071795816
0.000117294,36.89853329,0.071795816
0.000121529,43.40959097,0.071795816
0.000122971,41.56476594,0.071795816
0.000127053,39.28540526,0.071795816
0.00013175,37.60382699,0.071795816
0.000137743,40.31319917,0.071795816
0.00014225,43.54882322,0.071795816
0.000147195,40.52271527,0.071795816
0.000152461,43.88662818,0.071795816
0.000155396,39.92296567,0.071795816
0.000158135,45.45394987,0.071795816
0.000163085,39.11228453,0.071795816
0.000166111,43.36188746,0.071795816
0.000171281,37.40039363,0.071795816
0.00017848,39.90294894,0.071795816
0.000187853,37.53180827,0.071795816
0.000191739,40.06600823,0.071795816
0.000197661,37.80868015,0.071795816
0.000203819,38.1478912,0.071795816
0.000209038,43.70352115,0.071795816
0.000213096,41.88741517,0.071795816
0.000216604,39.90988764,0.071795816
0.000219655,40.40752755,0.071795816
0.000225643,40.74253081,0.071795816
0.000229792,38.72242493,0.071795816
0.0002355,37.53054678,0.071795816
0.000240459,40.68398559,0.071795816
0.000241693,37.9971852,0.071795816
0.00024461,39.03590348,0.071795816
0.00025394,40.80324437,0.071795816
0.00025696,39.35057294,0.071795816
0.000261966,36.73747512,0.071795816
0.000264618,40.79457101,0.071795816
0.000268712,39.70172684,0.071795816
0.000270799,37.66254068,0.071795816
0.000278691,40.6949512,0.071795816
0.000282291,38.64357615,0.071795816
0.000286354,39.07433961,0.071795816
0.000292293,41.49711368,0.071795816
0.000294815,36.41651112,0.071795816
0.000298619,39.10136946,0.071795816
0.000304715,42.56304775,0.071795816
0.000310856,36.83683535,0.071795816
0.000313246,40.13996877,0.071795816
0.00032297,39.45248168,0.071795816
0.0003271,36.03668645,0.071795816
0.000335268,40.01090685,0.071795816
0.000341441,39.32910172,0.071795816
0.000347375,38.87414314,0.071795816
0.000351793,37.24612336,0.071795816
0.00035839,34.39896661,0.071795816
0.000363376,43.18354986,0.071795816
0.000365946,38.0624606,0.071795816
0.000370067,41.1068122,0.071795816
0.000372887,39.45317618,0.071795816
0.000377352,36.86553604,0.071795816
0.000383031,38.80789355,0.071795816
0.000384742,35.16660692,0.071795816
0.000389905,41.02723149,0.071795816
0.000394791,38.48078373,0.071795816
0.000406328,39.25255903,0.071795816
0.000411282,37.52315497,0.071795816
0.000419312,40.46633311,0.071795816
0.000422472,35.80646414,0.071795816
0.000426973,40.58641022,0.071795816
0.000435232,40.56759487,0.071795816
0.000439037,36.57627765,0.071795816
0.000444815,39.55420957,0.071795816
0.000449845,36.74286986,0.071795816
0.000455493,38.22992329,0.071795816
0.000460239,36.87420941,0.071795816
0.000466547,37.82800416,0.071795816
0.000472578,39.62434641,0.071795816
0.00048227,36.27625732,0.071795816
0.000491209,35.05858471,0.071795816
0.000493152,37.38355508,0.071795816
