time,Absorbance_100,W
0.00003553366174055832, 0.6279999999999998,.077
0.000048325123152709326, 0.5859999999999999,.077
0.0000789655172413793, 0.5179999999999999,.077
0.00011279146141215105, 0.4379999999999999,.077
0.00013684729064039408, 0.36799999999999994,.077
0.00018715927750410504, 0.29599999999999993,.077
0.0002424466338259441, 0.22999999999999998,.077
0.00026839080459770115, 0.18999999999999995,.077
0.00032382594417077176, 0.14200000000000002,.077
0.00040224958949096877, 0.09400000000000008,.077

